Freq_GHz	Norm_dB_model_hole
10.5212	-0.17343
10.5312	-0.173778
10.5412	-0.174128
10.5512	-0.174477
10.5611	-0.174827
10.5711	-0.175177
10.5811	-0.175528
10.5911	-0.175879
10.6011	-0.17623
10.611	-0.176582
10.621	-0.176935
10.631	-0.177287
10.641	-0.177641
10.651	-0.177994
10.661	-0.178348
10.6709	-0.178703
10.6809	-0.179057
10.6909	-0.179413
10.7009	-0.179768
10.7109	-0.180124
10.7208	-0.180481
10.7308	-0.180838
10.7408	-0.181195
10.7508	-0.181553
10.7608	-0.181911
10.7708	-0.182269
10.7807	-0.182628
10.7907	-0.182988
10.8007	-0.183347
10.8107	-0.183707
10.8207	-0.184068
10.8306	-0.184429
10.8406	-0.184791
10.8506	-0.185152
10.8606	-0.185515
10.8706	-0.185877
10.8806	-0.18624
10.8905	-0.186604
10.9005	-0.186968
10.9105	-0.187332
10.9205	-0.187697
10.9305	-0.188062
10.9404	-0.188428
10.9504	-0.188794
10.9604	-0.18916
10.9704	-0.189527
10.9804	-0.189894
10.9904	-0.190262
11.0003	-0.19063
11.0103	-0.190999
11.0203	-0.191368
11.0303	-0.191737
11.0403	-0.192107
11.0503	-0.192477
11.0602	-0.192848
11.0702	-0.193219
11.0802	-0.19359
11.0902	-0.193962
11.1002	-0.194335
11.1101	-0.194707
11.1201	-0.195081
11.1301	-0.195454
11.1401	-0.195828
11.1501	-0.196203
11.1601	-0.196578
11.17	-0.196953
11.18	-0.197329
11.19	-0.197705
11.2	-0.198081
11.21	-0.198458
11.2199	-0.198836
11.2299	-0.199214
11.2399	-0.199592
11.2499	-0.199971
11.2599	-0.20035
11.2699	-0.200729
11.2798	-0.201109
11.2898	-0.20149
11.2998	-0.201871
11.3098	-0.202252
11.3198	-0.202634
11.3297	-0.203016
11.3397	-0.203398
11.3497	-0.203781
11.3597	-0.204165
11.3697	-0.204549
11.3797	-0.204933
11.3896	-0.205318
11.3996	-0.205703
11.4096	-0.206088
11.4196	-0.206474
11.4296	-0.206861
11.4395	-0.207248
11.4495	-0.207635
11.4595	-0.208023
11.4695	-0.208411
11.4795	-0.208799
11.4895	-0.209189
11.4994	-0.209578
11.5094	-0.209968
11.5194	-0.210358
11.5294	-0.210749
11.5394	-0.21114
11.5493	-0.211532
11.5593	-0.211924
11.5693	-0.212316
11.5793	-0.212709
11.5893	-0.213103
11.5993	-0.213497
11.6092	-0.213891
11.6192	-0.214286
11.6292	-0.214681
11.6392	-0.215076
11.6492	-0.215472
11.6592	-0.215869
11.6691	-0.216266
11.6791	-0.216663
11.6891	-0.217061
11.6991	-0.217459
11.7091	-0.217858
11.719	-0.218257
11.729	-0.218656
11.739	-0.219056
11.749	-0.219456
11.759	-0.219857
11.769	-0.220259
11.7789	-0.22066
11.7889	-0.221063
11.7989	-0.221465
11.8089	-0.221868
11.8189	-0.222272
11.8288	-0.222676
11.8388	-0.22308
11.8488	-0.223485
11.8588	-0.22389
11.8688	-0.224296
11.8788	-0.224702
11.8887	-0.225109
11.8987	-0.225516
11.9087	-0.225923
11.9187	-0.226331
11.9287	-0.226739
11.9386	-0.227148
11.9486	-0.227557
11.9586	-0.227967
11.9686	-0.228377
11.9786	-0.228788
